--Timestamp---	Temp	Chill	HIndex	Humid	Dewpt	 Wind 	HiWind	WindDir	Rain 	Barom	Solar	 ET  	 UV 
--------------	----	-----	------	-----	-----	------	------	-------	-----	-----	-----	-----	----
20111106 00:00	20.7	20.7	20.7	98	20.3	0	0	-100000	0.0	1009.3	0	0.000	0.0
20111106 00:05	20.7	20.7	20.7	98	20.3	0	0	-100000	0.0	1009.3	0	0.000	0.0
20111106 00:10	20.6	20.6	20.6	97	20.1	0	0	-100000	0.0	1009.2	0	0.000	0.0
20111106 00:15	20.5	20.5	20.5	97	20.0	0	0	-100000	0.0	1009.2	0	0.000	0.0
20111106 00:20	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1009.1	0	0.000	0.0
20111106 00:25	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1009.1	0	0.000	0.0
20111106 00:30	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1009.1	0	0.000	0.0
20111106 00:35	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1009.1	0	0.000	0.0
20111106 00:40	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1009.1	0	0.000	0.0
20111106 00:45	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1009.0	0	0.000	0.0
20111106 00:50	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1008.9	0	0.000	0.0
20111106 00:55	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1008.9	0	0.000	0.0
20111106 01:00	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1008.8	0	0.000	0.0
20111106 01:05	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1008.7	0	0.000	0.0
20111106 01:10	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1008.7	0	0.000	0.0
20111106 01:15	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1008.6	0	0.000	0.0
20111106 01:20	20.4	20.4	20.4	97	19.9	0	2	158	0.0	1008.6	0	0.000	0.0
20111106 01:25	20.3	20.3	20.3	97	19.8	0	2	158	0.0	1008.6	0	0.000	0.0
20111106 01:30	20.3	20.3	20.3	97	19.8	0	2	158	0.0	1008.4	0	0.000	0.0
20111106 01:35	20.2	20.2	20.2	96	19.6	0	0	-100000	0.0	1008.3	0	0.000	0.0
20111106 01:40	20.3	20.3	20.3	96	19.6	0	0	-100000	0.0	1008.3	0	0.000	0.0
20111106 01:45	20.3	20.3	20.3	96	19.7	0	0	-100000	0.0	1008.2	0	0.000	0.0
20111106 01:50	20.3	20.3	20.3	96	19.6	0	0	-100000	0.0	1008.2	0	0.000	0.0
20111106 01:55	20.3	20.3	20.3	96	19.7	0	0	-100000	0.0	1008.2	0	0.000	0.0
20111106 02:00	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1008.1	0	0.000	0.0
20111106 02:05	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1008.0	0	0.000	0.0
20111106 02:10	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1008.1	0	0.000	0.0
20111106 02:15	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1008.0	0	0.000	0.0
20111106 02:20	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.9	0	0.000	0.0
20111106 02:25	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.8	0	0.000	0.0
20111106 02:30	20.2	20.2	20.2	97	19.7	0	0	-100000	0.0	1007.8	0	0.000	0.0
20111106 02:35	20.2	20.2	20.2	97	19.7	0	0	-100000	0.0	1007.7	0	0.000	0.0
20111106 02:40	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.6	0	0.000	0.0
20111106 02:45	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.6	0	0.000	0.0
20111106 02:50	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.6	0	0.000	0.0
20111106 02:55	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1007.7	0	0.000	0.0
20111106 03:00	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1007.7	0	0.000	0.0
20111106 03:05	20.4	20.4	20.4	97	20.0	0	0	-100000	0.0	1007.7	0	0.000	0.0
20111106 03:10	20.4	20.4	20.4	97	19.9	0	0	-100000	0.0	1007.6	0	0.000	0.0
20111106 03:15	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.6	0	0.000	0.0
20111106 03:20	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.6	0	0.000	0.0
20111106 03:25	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.6	0	0.000	0.0
20111106 03:30	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.5	0	0.000	0.0
20111106 03:35	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.5	0	0.000	0.0
20111106 03:40	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.5	0	0.000	0.0
20111106 03:45	20.3	20.3	20.3	97	19.8	0	0	-100000	0.0	1007.4	0	0.000	0.0
20111106 03:50	20.2	20.2	20.2	97	19.7	0	0	-100000	0.0	1007.4	0	0.000	0.0
20111106 03:55	20.2	20.2	20.2	96	19.6	0	0	-100000	0.0	1007.4	0	0.000	0.0
20111106 04:00	20.2	20.2	20.2	96	19.6	0	0	-100000	0.0	1007.3	0	0.000	0.0
20111106 04:05	20.2	20.2	20.2	96	19.6	0	0	-100000	0.2	1007.4	0	0.000	0.0
20111106 04:10	20.2	20.2	20.2	96	19.6	0	0	-100000	0.0	1007.4	0	0.000	0.0
20111106 04:15	20.2	20.2	20.2	96	19.6	0	0	-100000	0.0	1007.5	0	0.000	0.0
20111106 04:20	20.2	20.2	20.2	96	19.6	0	0	-100000	0.0	1007.4	0	0.000	0.0
20111106 04:25	20.2	20.2	20.2	96	19.5	0	0	-100000	0.0	1007.5	0	0.000	0.0
20111106 04:30	20.2	20.2	20.2	97	19.7	0	0	-100000	0.0	1007.5	0	0.000	0.0
20111106 04:35	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1007.5	0	0.000	0.0
20111106 04:40	20.1	20.1	20.1	97	19.6	0	0	-100000	0.0	1007.6	0	0.000	0.0
20111106 04:45	20.1	20.1	20.1	97	19.6	0	0	-100000	0.2	1007.7	0	0.000	0.0
20111106 04:50	20.0	20.0	20.0	97	19.5	0	0	-100000	0.0	1007.8	0	0.000	0.0
20111106 04:55	19.9	19.9	19.9	97	19.5	0	0	-100000	0.0	1007.7	0	0.000	0.0
20111106 05:00	19.9	19.9	19.9	97	19.5	0	0	-100000	0.0	1007.8	0	0.000	0.0
20111106 05:05	19.9	19.9	19.9	97	19.5	0	0	-100000	0.0	1007.8	0	0.000	0.0
20111106 05:10	19.9	19.9	19.9	97	19.5	0	0	-100000	0.0	1007.9	0	0.000	0.0
20111106 05:15	19.9	19.9	19.9	97	19.5	0	0	-100000	0.0	1007.9	0	0.000	0.0
20111106 05:20	20.0	20.0	20.0	98	19.7	0	0	-100000	0.0	1007.9	0	0.000	0.0
20111106 05:25	20.1	20.1	20.1	98	19.7	0	0	-100000	0.0	1008.0	0	0.000	0.0
20111106 05:30	20.0	20.0	20.0	98	19.7	0	0	-100000	0.0	1008.0	0	0.000	0.0
20111106 05:35	20.0	20.0	20.0	98	19.7	0	0	-100000	0.0	1008.0	0	0.000	0.0
20111106 05:40	19.9	19.9	19.9	98	19.6	0	0	-100000	0.0	1008.0	0	0.000	0.0
20111106 05:45	19.9	19.9	19.9	98	19.6	0	0	-100000	0.0	1008.1	0	0.000	0.0
20111106 05:50	19.9	19.9	19.9	97	19.5	0	0	-100000	0.0	1008.0	0	0.000	0.0
20111106 05:55	19.9	19.9	19.9	97	19.4	0	0	-100000	0.0	1008.1	0	0.000	0.0
20111106 06:00	19.9	19.9	19.9	97	19.4	0	0	-100000	0.0	1008.2	0	0.000	0.0
20111106 06:05	19.9	19.9	19.9	97	19.4	0	0	-100000	0.0	1008.1	0	0.000	0.0
20111106 06:10	19.9	19.9	19.9	97	19.4	0	0	-100000	0.0	1008.2	0	0.000	0.0
